Word,Frequency,Rank
emotion,21,624
equal,21,625
fond,21,626
hundred,21,627
leaving,21,628
melancholy,21,629
sent,21,630
temper,21,631
things,21,632
thus,21,633
tomorrow,21,634
tried,21,635
true,21,636
view,21,637
window,21,638
wrong,21,639
above,20,640
admiration,20,641
among,20,642
chance,20,643
delighted,20,644
dont,20,645
eager,20,646
early,20,647
eldest,20,648
enjoyment,20,649
exertion,20,650
forward,20,651
friendship,20,652
inquiry,20,653
letters,20,654
looking,20,655
lost,20,656
men,20,657
mistaken,20,658
palmers,20,659
seem,20,660
sitting,20,661
smallest,20,662
soul,20,663
speaking,20,664
strange,20,665
times,20,666
wait,20,667
walk,20,668
age,19,669
arrived,19,670
circumstance,19,671
compassion,19,672
connection,19,673
cousins,19,674
difference,19,675
discourse,19,676
elegance,19,677
estate,19,678
help,19,679
hoped,19,680
indifference,19,681
liberty,19,682
lived,19,683
loss,19,684
meant,19,685
mentioned,19,686
servant,19,687
stairs,19,688
staying,19,689
unhappy,19,690
used,19,691
weather,19,692
alarm,18,693
allenham,18,694
anxiety,18,695
attended,18,696
become,18,697
breakfast,18,698
calm,18,699
charlotte,18,700
companion,18,701
consequence,18,702
difficulty,18,703
entrance,18,704
especially,18,705
eye,18,706
honour,18,707
hopes,18,708
joined,18,709
music,18,710
necessity,18,711
none,18,712
particulars,18,713
praise,18,714
relief,18,715
required,18,716
second,18,717
secret,18,718
style,18,719
tenderness,18,720
thinking,18,721
unable,18,722
agitation,17,723
air,17,724
allowed,17,725
amiable,17,726
astonishment,17,727
attempt,17,728
became,17,729
behind,17,730
berkeley,17,731
bring,17,732
calmness,17,733
capable,17,734
charming,17,735
composure,17,736
delightful,17,737
difficulties,17,738
disappointed,17,739
ease,17,740
esteem,17,741
followed,17,742
gratitude,17,743
hair,17,744
hands,17,745
hers,17,746
inclination,17,747
information,17,748
intelligence,17,749
led,17,750
looks,17,751
lord,17,752
mine,17,753
need,17,754
parties,17,755
pity,17,756
quiet,17,757
recollection,17,758
sight,17,759
simple,17,760
smith,17,761
spirit,17,762
understanding,17,763
warmth,17,764
welcome,17,765
yes,17,766
aware,16,767
ayear,16,768
carried,16,769
cheerfulness,16,770
civility,16,771
declare,16,772
except,16,773
ferrarss,16,774
girls,16,775
grave,16,776
harley,16,777
influence,16,778
johns,16,779
laughed,16,780
loved,16,781
nobody,16,782
observation,16,783
overcome,16,784
pause,16,785
persuaded,16,786
purpose,16,787
quitted,16,788
receive,16,789
relations,16,790
remember,16,791
rich,16,792
turn,16,793
twice,16,794
worse,16,795
write,16,796
affliction,15,797
afford,15,798
alteration,15,799
altogether,15,800
civil,15,801
combe,15,802
considerable,15,803
delay,15,804
disposed,15,805
during,15,806
engage,15,807
excuse,15,808
exeter,15,809
express,15,810
expressed,15,811
finding,15,812
fire,15,813
form,15,814
gained,15,815
highly,15,816
imagine,15,817
increased,15,818
indifferent,15,819
interesting,15,820
itself,15,821
lately,15,822
match,15,823
mutual,15,824
note,15,825
observed,15,826
offer,15,827
opinions,15,828
pleasant,15,829
presence,15,830
prevented,15,831
prospect,15,832
removed,15,833
several,15,834
smart,15,835
suffering,15,836
supported,15,837
trust,15,838
unwilling,15,839
utmost,15,840
violent,15,841
whenever,15,842
ago,14,843
amusement,14,844
assistance,14,845
cause,14,846
creature,14,847
drew,14,848
duty,14,849
eagerly,14,850
encouragement,14,851
engagements,14,852
everything,14,853
folly,14,854
frequently,14,855
fresh,14,856
heavy,14,857
importance,14,858
inconvenience,14,859
justice,14,860
mama,14,861
marrying,14,862
mention,14,863
morton,14,864
news,14,865
oh,14,866
perceive,14,867
politeness,14,868
pray,14,869
proof,14,870
propriety,14,871
relation,14,872
respectable,14,873
rose,14,874
seven,14,875
six,14,876
spoken,14,877
suffer,14,878
support,14,879
suspicion,14,880
treated,14,881
turning,14,882
twenty,14,883
understood,14,884
wishing,14,885
wont,14,886
written,14,887
yesterday,14,888
yours,14,889
approbation,13,890
assist,13,891
assurance,13,892
astonished,13,893
calling,13,894
comparison,13,895
concerned,13,896
